Day,요일,주차,채널,포맷,톤/유형,목적(인지/관심/전환),주제/후킹 문장(직접 작성),상태(초안/예약/발행완료),조회수·반응,다음 액션
1,월,1주차 - 세팅,블로그,SEO 원문,정보형,인지,,,,
2,화,1주차 - 세팅,스레드,요약 글,스토리형,인지,,,,
3,수,1주차 - 세팅,인스타그램,카드뉴스 대본,리스트형,관심,,,,
4,목,1주차 - 세팅,스레드,질문형 글,질문형,관심,,,,
5,금,1주차 - 세팅,블로그,SEO 원문,정보형,인지,,,,
6,토,1주차 - 세팅,스레드,후기/증거형 글,증거형,관심,,,,
7,일,1주차 - 세팅,전체,주간 회고 메모,-,-,,,,
8,월,2주차 - SNS 톤 순환,스레드,홍보 글,스토리형,전환,,,,
9,화,2주차 - SNS 톤 순환,스레드,홍보 글,질문형,관심,,,,
10,수,2주차 - SNS 톤 순환,스레드,홍보 글,리스트형,관심,,,,
11,목,2주차 - SNS 톤 순환,스레드,홍보 글,반박형,관심,,,,
12,금,2주차 - SNS 톤 순환,스레드,홍보 글,공감형,인지,,,,
13,토,2주차 - SNS 톤 순환,스레드,홍보 글,증거형,전환,,,,
14,일,2주차 - SNS 톤 순환,스레드,홍보 글,긴급성형,전환,,,,
15,월,3주차 - 블로그·SEO,블로그,SEO 원문,정보형,인지,,,,
16,화,3주차 - 블로그·SEO,스레드,블로그 요약 공유,리스트형,인지,,,,
17,수,3주차 - 블로그·SEO,인스타그램,카드뉴스 대본,정보형,관심,,,,
18,목,3주차 - 블로그·SEO,숏폼,스크립트(훅-본문-CTA),후킹형,관심,,,,
19,금,3주차 - 블로그·SEO,블로그,SEO 원문,정보형,인지,,,,
20,토,3주차 - 블로그·SEO,스레드,댓글 응대 정리 글,공감형,인지,,,,
21,일,3주차 - 블로그·SEO,전체,주간 회고 메모,-,-,,,,
22,월,4주차 - 분석·확장,스레드,반응 좋은 글 재발행(변형),재발행,전환,,,,
23,화,4주차 - 분석·확장,블로그,SEO 원문,정보형,인지,,,,
24,수,4주차 - 분석·확장,스레드,홍보 글,스토리형,전환,,,,
25,목,4주차 - 분석·확장,인스타그램,카드뉴스 대본,리스트형,관심,,,,
26,금,4주차 - 분석·확장,스레드,홍보 글,증거형,전환,,,,
27,토,4주차 - 분석·확장,뉴스레터,이번 달 요약 문단,정보형,관심,,,,
28,일,4주차 - 분석·확장,전체,월간 회고 + 다음달 주제 발굴,-,-,,,,
29,월,4주차 - 분석·확장,전체,다음 달 캘린더 초안 작성,-,-,,,,
30,화,4주차 - 분석·확장,전체,대행 서비스 포트폴리오 정리,-,-,,,,
